246,2022-01-01 12:20:59.201462400
251,2022-01-01 12:26:58.310361600
252,2022-01-01 12:18:58.257014400
260,2022-01-01 12:38:59.764704000
313,2022-01-01 14:52:15.984134400
319,2022-01-01 14:49:14.056752000
322,2022-01-01 15:11:50.765712000
335,2022-01-01 15:42:40.812019200
351,2022-01-01 16:48:38.451801600
355,2022-01-01 17:09:29.795875200
399,2022-01-01 19:06:34.394688000
402,2022-01-01 19:16:44.853196800
415,2022-01-01 19:53:20.177491200
419,2022-01-01 19:51:28.558886400
458,2022-01-01 21:37:05.137824000
459,2022-01-01 21:34:39.168480000
473,2022-01-01 22:22:51.211920000
480,2022-01-01 22:35:57.308409600
